"Literacy rate, adult female (% of females ages 15 and above)","Faroe Islands","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Fiji","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Finland","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Fragile and conflict affected situations","54.01249"
"Literacy rate, adult female (% of females ages 15 and above)","France","NA"
"Literacy rate, adult female (% of females ages 15 and above)","French Polynesia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Gabon","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Gambia, The","41.57702"
"Literacy rate, adult female (% of females ages 15 and above)","Georgia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Germany","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Ghana","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Gibraltar","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Greece","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Greenland","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Grenada","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Guam","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Guatemala","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Guinea","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Guinea-Bissau","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Guyana","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Haiti","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Heavily indebted poor countries (HIPC)","52.47127"
"Literacy rate, adult female (% of females ages 15 and above)","High income","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Honduras","87.8937"
"Literacy rate, adult female (% of females ages 15 and above)","Hong Kong SAR, China","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Hungary","NA"
"Literacy rate, adult female (% of females ages 15 and above)","IBRD only","84.87894"
"Literacy rate, adult female (% of females ages 15 and above)","Iceland","NA"
"Literacy rate, adult female (% of females ages 15 and above)","IDA & IBRD total","78.90824"
"Literacy rate, adult female (% of females ages 15 and above)","IDA blend","56.64338"
"Literacy rate, adult female (% of females ages 15 and above)","IDA only","56.05054"
"Literacy rate, adult female (% of females ages 15 and above)","IDA total","56.24968"
"Literacy rate, adult female (% of females ages 15 and above)","India","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Indonesia","93.33571"
"Literacy rate, adult female (% of females ages 15 and above)","Iran, Islamic Rep.","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Iraq","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Ireland","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Isle of Man","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Israel","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Italy","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Jamaica","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Japan","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Jordan","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Kazakhstan","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Kenya","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Kiribati","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Korea, Dem. People's Rep.","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Korea, Rep.","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Kosovo","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Kuwait","94.47005"
"Literacy rate, adult female (% of females ages 15 and above)","Kyrgyz Republic","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Lao PDR","79.39104"
"Literacy rate, adult female (% of females ages 15 and above)","Late-demographic dividend","94.19743"
"Literacy rate, adult female (% of females ages 15 and above)","Latin America & Caribbean","92.65633"
"Literacy rate, adult female (% of females ages 15 and above)","Latin America & Caribbean (excluding high income)","91.91362"
"Literacy rate, adult female (% of females ages 15 and above)","Latin America & Caribbean (IDA & IBRD)","92.50708"
"Literacy rate, adult female (% of females ages 15 and above)","Latvia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Least developed countries: UN classification","54.10951"
"Literacy rate, adult female (% of females ages 15 and above)","Lebanon","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Lesotho","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Liberia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Libya","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Liechtenstein","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Lithuania","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Low & middle income","78.65484"
"Literacy rate, adult female (% of females ages 15 and above)","Low income","53.01256"
"Literacy rate, adult female (% of females ages 15 and above)","Lower middle income","68.82391"
"Literacy rate, adult female (% of females ages 15 and above)","Luxembourg","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Macao SAR, China","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Madagascar","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Malawi","55.20411"
"Literacy rate, adult female (% of females ages 15 and above)","Malaysia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Maldives","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Mali","22.19581"
"Literacy rate, adult female (% of females ages 15 and above)","Malta","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Marshall Islands","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Mauritania","NA"
